"entryid","date","pm","co","alcohol","co2","toluene","nh4","acetone","humidity","temperature","latitude","longitude"
1,"1994-12-12 12:35:55","4.45","232","56","488","42","34","32","28","35","40.7738","14.8003"
2,"1994-12-12 12:35:55","4.45","232","56","488","42","34","32","28","35","40.7738","14.8003"
3,"1994-12-12 12:35:55","4.45","232","56","488","42","34","32","28","35","40.7738","14.8003"
4,"1994-12-12 12:35:55","4.45","232","56","488","42","34","32","28","35","40.7738","14.8003"
5,"1994-12-12 12:35:55","4.45","232","56","488","42","34","32","28","35","40.7738","14.8003"
6,"1994-12-12 12:35:55","4.45","232","56","488","42","34","32","28","35","40.7738","14.8003"
7,"2021-03-31 15:42:26","5.5","103","45","440","100","32","23","23","26","45","13"
8,"2021-03-31 15:43:30","5.5","103","45","440","100","32","23","23","26","45","13"
9,"2021-03-31 15:46:33","5.5","103","45","440","100","32","23","23","26","45","13"
10,"2021-03-31 15:47:13","5.5","103","45","440","100","32","23","23","26","45","13"
11,"2021-03-31 15:47:34","5.5","103","45","440","100","32","23","23","26","45.423","-13.554"
12,"2021-04-09 17:49:55","43.64","12.46","3.36","406","1.5","8.92","1.25","24","24.3","40.7652915","14.7918225"
13,"2021-04-09 17:50:02","40.27","12.46","3.36","406","1.5","8.92","1.25","24","24.3","40.7652893","14.7919267"
14,"2021-04-09 17:50:12","41.93","11.84","3.22","406","1.44","8.64","1.2","24","24.3","40.7652879","14.7918355"
15,"2021-04-09 17:50:18","42.97","11.84","3.22","406","1.44","8.64","1.2","24","24.4","40.7652879","14.7918635"
16,"2021-04-09 17:50:28","42.72","11.84","3.22","406","1.44","8.64","1.2","24","24.4","40.7652845","14.7919045"
17,"2021-04-09 17:50:36","43.62","11.84","3.22","406","1.44","8.64","1.2","24","24.4","40.7652923","14.7918394"
18,"2021-04-09 17:50:43","45.95","11.84","3.22","406","1.44","8.64","1.2","24","24.4","40.7652856","14.7918346"
19,"2021-04-09 17:50:52","40.51","11.25","3.09","406","1.37","8.36","1.15","24","24.4","40.7652837","14.7919034"
20,"2021-04-09 17:50:59","42.56","11.25","3.09","406","1.37","8.36","1.15","24","24.3","40.7652909","14.7918336"
21,"2021-04-09 17:51:24","4.17","6.83","2.06","404","0.89","6.11","0.75","26","24.4","40.765295","14.7918151"
22,"2021-04-09 17:51:33","5.53","6.52","1.99","404","0.85","5.94","0.72","25","24.4","40.7652953","14.7918206"
23,"2021-04-09 17:51:41","6.3","6.52","1.99","404","0.85","5.94","0.72","25","24.4","40.7652895","14.7918583"
24,"2021-04-09 17:51:48","8.38","6.52","1.99","404","0.85","5.94","0.72","24","24.4","40.7652811","14.7918997"
25,"2021-04-09 17:51:58","7.62","6.52","1.99","404","0.85","5.94","0.72","24","24.4","40.7652797","14.7919378"
26,"2021-04-09 17:52:05","9.41","6.52","1.99","404","0.85","5.94","0.72","24","24.4","40.7652954","14.7918227"
